library	file	raw_file	sample	source_name	compartment	age	strain	timepoint	group	multiplex
P1741_03_11A5_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_03_11A5_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_03_11A5_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A2_2_12w_nonSPF_2days_proximal	11A2_2	proximal	12w	nonSPF	2days	12w_nonSPF_2days_proximal	HTO3
P1741_03_11A5_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_03_11A5_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_03_11A5_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A2_2_12w_nonSPF_2days_distal	11A2_2	distal	12w	nonSPF	2days	12w_nonSPF_2days_distal	HTO4
P1741_03_11A5_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_03_11A5_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_03_11A5_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A2_8_12w_nonSPF_2days_proximal	11A2_8	proximal	12w	nonSPF	2days	12w_nonSPF_2days_proximal	HTO5
P1741_03_11A5_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_03_11A5_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_03_11A5_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A2_8_12w_nonSPF_2days_distal	11A2_8	distal	12w	nonSPF	2days	12w_nonSPF_2days_distal	HTO6
P1741_04_11A5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_04_11A5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_04_11A5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A2_1_12w_nonSPF_2days_fx	11A2_1	fx	12w	nonSPF	2days	12w_nonSPF_2days_fx	HTO1
P1741_04_11A5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_04_11A5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_04_11A5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A2_2_12w_nonSPF_2days_fx	11A2_2	fx	12w	nonSPF	2days	12w_nonSPF_2days_fx	HTO2
P1741_04_11A5_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_04_11A5_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_04_11A5_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A2_8_12w_nonSPF_2days_fx	11A2_8	fx	12w	nonSPF	2days	12w_nonSPF_2days_fx	HTO3
P1741_05_11B2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_05_11B2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_05_11B2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B2_14_26w_nonSPF_2days_fx	11B2_14	fx	26w	nonSPF	2days	26w_nonSPF_2days_fx	HTO1
P1741_05_11B2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_05_11B2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_05_11B2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B2_15_26w_nonSPF_2days_fx	11B2_15	fx	26w	nonSPF	2days	26w_nonSPF_2days_fx	HTO2
P1741_05_11B2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_05_11B2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_05_11B2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11B2_16_26w_nonSPF_2days_fx	11B2_16	fx	26w	nonSPF	2days	26w_nonSPF_2days_fx	HTO3
